retrieval_mode,id,category,question,reference_answer,expected_source,model,top_k,prompt_variant,num_predict,timeout,context_expansion,success,answer,top_sources,retrieval_hit,reference_overlap,reasoning_faithfulness,retrieval_rounds,retrieve_time,generate_time,total_time,error
vector,1,网络,计算机网络采用分层体系结构的主要意义是什么？,分层可以降低复杂度，使每层只关注本层职责并通过接口向上层提供服务，便于协议替换和故障定位。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"计算机网络采用分层体系结构的主要意义在于简化系统设计与实现，提高各层之间的独立性和互操作性。通过将复杂的功能分解为多个层次，每一层只关注自身的职责，并通过接口向上一层提供服务，从而降低了系统的整体复杂度。

- 关键概念：分层体系",computer_networks.md(0.7074); database_systems.md(0.6575); ai_rag_notes.md(0.6567); operating_systems.md(0.6443),1,0.6829,0.0,1,0.5582,122.2712,122.8295,
vector,2,网络,OSI 参考模型包含哪些层？,OSI 参考模型包含物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

[片段1] 和 [片段2] 的内容与 OSI 参考模型无关，因此无法根据提供的参考资料回答您的问题。OSI（Open Systems Interconnection）参考模型包含七层：物理层、数据链路层、网络层、传输层、",arxiv_020_2605.22765v1.md(0.7186); arxiv_008_2605.22794v1.md(0.7050),0,0.5,1.0,1,0.4753,62.3773,62.8527,
vector,3,网络,TCP 为什么适合文件传输和网页访问？,TCP 面向连接并提供可靠传输，使用确认、重传、流量控制和拥塞控制保证数据可靠到达。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：
[片段1] 文件：ai_rag_notes.md
[片段2] 文件：ai_rag_notes.md
[片段3] 文件：database_systems.md
[片段4] 文件：operating_systems.md",ai_rag_notes.md(0.7085); ai_rag_notes.md(0.6642); database_systems.md(0.6552); operating_systems.md(0.6175),0,0.0,1.0,1,0.6719,128.1996,128.8716,
vector,4,网络,UDP 的特点和典型应用场景是什么？,UDP 无连接、开销小、时延低，不保证可靠交付，常用于 DNS、实时音视频和在线游戏。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：
- 片段1：computer_networks.md
- 片段2：database_systems.md
- 片段3：ai_rag_notes.md
- 片段4：operating_systems.md

以上片段主要讨论了DNS解析",computer_networks.md(0.7224); database_systems.md(0.6854); ai_rag_notes.md(0.6740); operating_systems.md(0.6620),1,0.0,0.0,1,0.6897,115.729,116.4189,
vector,5,网络,CIDR 中 192.168.1.0/24 表示什么？,它表示前 24 位是网络前缀，对应 192.168.1.0 这个网络范围。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"CIDR 中的 192.168.1.0/24 表示前 24 位是网络前缀。

- 关键概念：CIDR（无类别域间路由）使用“地址/前缀长度”的方式表示网络范围，其中“地址”",computer_networks.md(0.7056); database_systems.md(0.5628); computer_networks.md(0.5620); arxiv_014_2605.22776v1.md(0.5542),1,0.2,0.0,1,0.7452,125.0715,125.8167,
vector,6,网络,HTTPS 相比 HTTP 增加了哪些安全能力？,HTTPS 在 HTTP 与 TCP 之间加入 TLS，提供身份认证、数据加密和完整性校验。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：
[片段1] 文件：ai_rag_notes.md
[片段2] 文件：database_systems.md
[片段3] 文件：database_systems.md
[片段4] 文件：ai_rag_notes.md",ai_rag_notes.md(0.6438); database_systems.md(0.6183); database_systems.md(0.6158); ai_rag_notes.md(0.5966),0,0.0,1.0,1,0.6558,117.6418,118.2976,
vector,7,网络,DNS 缓存有什么作用？,DNS 缓存可以减少重复查询并提高访问速度，但缓存过期时间会影响域名变更生效速度。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

依据来源：[片段1] 文件：arxiv_002_2605.22820v1.md；[片段2] 文件：ai_rag_notes.md；[片段3] 文件：arxiv_006_2",arxiv_002_2605.22820v1.md(0.6095); ai_rag_notes.md(0.6054); arxiv_006_2605.22800v1.md(0.6038); arxiv_016_2605.22774v1.md(0.6022),0,0.0,1.0,1,0.6583,92.0958,92.7542,
vector,8,操作系统,进程和线程的核心区别是什么？,进程是资源分配和保护的基本单位，线程是 CPU 调度的基本单位；同一进程内线程共享地址空间和资源。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"进程和线程的主要区别在于它们是操作系统进行资源分配和保护的基本单位的不同形式。进程拥有独立的地址空间、打开文件、寄存器上下文等资源；而线程则是CPU调度的基本单位，在同一进程中多个线程共享进程地址空间和大部分资源。

1. **关键",computer_networks.md(0.6530); database_systems.md(0.6279); operating_systems.md(0.6143); ai_rag_notes.md(0.6106),1,0.0,0.0,1,0.4786,122.2629,122.7415,
vector,9,操作系统,线程共享数据为什么还需要锁或信号量？,线程共享进程地址空间，多个线程并发访问共享数据可能产生竞态条件，因此需要同步机制。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"线程共享数据时需要使用锁或信号量来处理并发访问带来的竞态条件。这是因为多个线程可能同时读写同一块内存区域，如果缺乏适当的同步机制，可能会导致数据不一致或其他错误。

1. **关键概念**：在多线程环境中，每个线程都有",ai_rag_notes.md(0.6231); computer_networks.md(0.6158); operating_systems.md(0.6099); computer_networks.md(0.6089),1,0.7714,0.0,1,0.7497,165.6406,166.3906,
vector,10,操作系统,时间片轮转调度为什么适合交互式系统？,时间片轮转为每个就绪进程分配固定时间片，提升公平性和响应性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,baseline,64,360,False,1,"知识库中没有找到明确答案。

[片段1]、[片段2]、[片段3] 和 [片段4] 都未涉及时间片轮转调度及其在交互式系统中的适用性。",database_systems.md(0.6439); computer_networks.md(0.5917); ai_rag_notes.md(0.5912); arxiv_006_2605.22800v1.md(0.5838),0,0.3077,1.0,1,0.9343,137.5294,138.4638,
