prompt_variant,id,category,question,reference_answer,expected_source,model,top_k,num_predict,timeout,context_expansion,success,answer,top_sources,retrieval_hit,reference_overlap,reasoning_faithfulness,retrieval_rounds,retrieve_time,generate_time,total_time,error
baseline,1,网络,计算机网络采用分层体系结构的主要意义是什么？,分层可以降低复杂度，使每层只关注本层职责并通过接口向上层提供服务，便于协议替换和故障定位。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"计算机网络采用分层体系结构的主要意义在于通过将复杂系统分解为多个层次来降低系统的整体复杂度。这样每一层只关注本层职责，并通过接口向上层提供服务。

1. **关键概念**：每一层都专注于特定的功能，如物理层负责传输比特流，数据",computer_networks.md(0.8500); computer_networks.md(0.3656); ai_rag_notes.md(0.3626); database_systems.md(0.3553),1,0.7073,0.0,1,1.3183,206.2398,207.5581,
baseline,2,网络,OSI 参考模型包含哪些层？,OSI 参考模型包含物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"OSI参考模型包括物理层、数据链路层、网络层、传输层、会话层、表示层和应用层。

- 物理层：负责定义了通过网络传输的原始比特流的机械与电气规范，是所有OSI模型中最基础的一层。
- 数据链",computer_networks.md(0.9195); arxiv_004_2605.22814v1.md(0.4654); arxiv_012_2605.22781v1.md(0.4421); ai_rag_notes.md(0.4369),1,0.0,0.0,1,0.5361,113.8541,114.3903,
baseline,3,网络,TCP 为什么适合文件传输和网页访问？,TCP 面向连接并提供可靠传输，使用确认、重传、流量控制和拥塞控制保证数据可靠到达。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"TCP（传输控制协议）适合文件传输和网页访问的原因在于其能够提供可靠的数据传输服务。具体来说，TCP 通过三次握手建立连接，并在数据传输过程中使用序号、确认应答、重传机制以及流量控制和拥塞控制来确保数据的可靠性。

1. **",computer_networks.md(0.9002); computer_networks.md(0.4499); ai_rag_notes.md(0.4000); database_systems.md(0.3712),1,0.0,0.0,1,0.5706,167.6331,168.2038,
baseline,4,网络,UDP 的特点和典型应用场景是什么？,UDP 无连接、开销小、时延低，不保证可靠交付，常用于 DNS、实时音视频和在线游戏。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"UDP 是无连接传输协议，它不保证可靠交付，也不维护连接状态，因此协议开销小、时延低。其典型应用场景包括 DNS 查询、实时音视频、在线游戏等更关注实时性的场景。

- 关键概念：UDP 作为无连接的传输协议，与 TCP",computer_networks.md(0.9102); computer_networks.md(0.7823); computer_networks.md(0.4248); ai_rag_notes.md(0.4163),1,0.3333,0.0,1,0.572,125.4798,126.0519,
baseline,5,网络,CIDR 中 192.168.1.0/24 表示什么？,它表示前 24 位是网络前缀，对应 192.168.1.0 这个网络范围。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"CIDR 中 192.168.1.0/24 表示前 24 位是网络前缀。

- 关键概念：CIDR（无类别域间路由）使用“地址/前缀长度”的方式表示网络范围，其中的前缀长度",computer_networks.md(1.0000); arxiv_013_2605.22779v1.md(0.3728); arxiv_011_2605.22785v1.md(0.3041); arxiv_014_2605.22776v1.md(0.3022),1,0.2,0.0,1,0.8781,121.4544,122.3326,
baseline,6,网络,HTTPS 相比 HTTP 增加了哪些安全能力？,HTTPS 在 HTTP 与 TCP 之间加入 TLS，提供身份认证、数据加密和完整性校验。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"HTTPS相比HTTP增加了身份认证、数据加密和完整性校验的能力。

- **身份认证**：通过TLS握手过程，服务器可以向客户端证明其身份，确保用户访问的是正确的网站而非伪造的站点。
- **数据加密**：使用对称或非对称加密算法保护传输中的数据",computer_networks.md(0.8749); arxiv_002_2605.22820v1.md(0.5843); ai_rag_notes.md(0.5679); arxiv_009_2605.22791v1.md(0.5673),1,0.0,0.0,1,0.5134,130.0084,130.5219,
baseline,7,网络,DNS 缓存有什么作用？,DNS 缓存可以减少重复查询并提高访问速度，但缓存过期时间会影响域名变更生效速度。,computer_networks.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"DNS缓存可以减少重复查询，提高访问速度。但是，DNS缓存的过期时间可能会影响域名变更生效的速度。

- 关键概念：DNS缓存存储了最近解析过的域名及其对应的IP地址记录。
- 步骤或原因：
  - 客户端首先会检查",computer_networks.md(0.9476); computer_networks.md(0.6611); computer_networks.md(0.4894); arxiv_002_2605.22820v1.md(0.4257),1,0.0,0.0,1,0.5811,140.0708,140.6521,
baseline,8,操作系统,进程和线程的核心区别是什么？,进程是资源分配和保护的基本单位，线程是 CPU 调度的基本单位；同一进程内线程共享地址空间和资源。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,进程与线程的主要区别在于它们的资源拥有情况以及调度机制。进程是操作系统进行资源分配和保护的基本单位，每个进程拥有独立的地址空间、打开文件、寄存器上下文等资源；而线程则是CPU调度的基本单位，在同一进程内的多个线程共享进程地址,operating_systems.md(0.8125); operating_systems.md(0.4023); computer_networks.md(0.4000); ai_rag_notes.md(0.3770),1,0.0,0.0,1,0.661,145.128,145.7891,
baseline,9,操作系统,线程共享数据为什么还需要锁或信号量？,线程共享进程地址空间，多个线程并发访问共享数据可能产生竞态条件，因此需要同步机制。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"线程共享数据时需要使用锁或信号量来处理并发访问带来的竞态条件。这是因为多个线程可能同时读写同一块内存区域，如果缺乏适当的同步机制，可能会导致数据不一致或其他错误。

1. **关键概念**：在多线程环境中，每个线程都有",operating_systems.md(0.8318); database_systems.md(0.4722); computer_networks.md(0.4423); ai_rag_notes.md(0.4239),1,0.7714,0.0,1,0.5709,167.1838,167.7547,
baseline,10,操作系统,时间片轮转调度为什么适合交互式系统？,时间片轮转为每个就绪进程分配固定时间片，提升公平性和响应性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"时间片轮转调度算法适合交互式系统，因为它能够为每个就绪进程分配固定的时间片，从而确保每个进程都能定期获得CPU的执行机会。这样可以提高系统的响应性和公平性。

- 关键概念：时间片轮转是一种调度策略，它将CPU时间划分为固定",operating_systems.md(0.7571); database_systems.md(0.4287); ai_rag_notes.md(0.3621); computer_networks.md(0.3510),1,0.9615,0.0,1,0.575,171.4774,172.0525,
baseline,11,操作系统,虚拟内存的作用是什么？,虚拟内存将进程地址空间与物理内存解耦，扩大可用地址空间、提供隔离并支持按需分页。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"虚拟内存的主要作用是扩大可用地址空间、提供进程隔离、简化程序装载以及支持按需分页。

- 关键概念：虚拟内存通过将进程看到的地址空间与物理内存解耦来实现上述功能。操作系统使用页表将虚拟页映射到物理页框，并可以将",operating_systems.md(0.8500); operating_systems.md(0.6028); computer_networks.md(0.5271); computer_networks.md(0.4159),1,1.0,0.0,1,0.5731,149.1176,149.6908,
baseline,12,操作系统,缺页中断频繁会导致什么问题？,频繁缺页会使系统不断换入换出页面，导致抖动和性能下降。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"缺页中断频繁会导致系统抖动和性能下降。

- 关键概念：缺页中断是指当操作系统尝试访问一个不在物理内存中的虚拟地址时发生的中断。这通常意味着需要将该页面从磁盘调入内存。
- 步骤或原因：当频繁发生缺页中断，",operating_systems.md(0.8173); ai_rag_notes.md(0.4418); computer_networks.md(0.4000); database_systems.md(0.3798),1,0.88,0.0,1,0.5492,135.0911,135.6403,
baseline,13,操作系统,死锁产生的四个必要条件是什么？,四个必要条件是互斥、占有并等待、不可抢占和循环等待。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"死锁产生的四个必要条件是互斥、占有并等待、不可抢占和循环等待。

- 互斥：至少一个资源必须处于独占使用状态，不允许其他进程同时访问。
- 占有并等待：当一个进程已经获得某些资源但还需要额外的资源才能继续执行时",operating_systems.md(0.7598); computer_networks.md(0.4000); computer_networks.md(0.3584); ai_rag_notes.md(0.3432),1,1.0,0.0,1,0.561,148.3208,148.8819,
baseline,14,操作系统,银行家算法属于哪类死锁处理策略？,银行家算法属于死锁避免策略，会在资源分配前判断系统是否处于安全状态。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"银行家算法属于死锁避免策略。

### 关键概念与步骤：
- **互斥条件**：资源分配时必须保证每次只能一个进程使用某项资源。
- **请求和保持条件**：进程可以申请并持有多个资源，但不能同时申请已持有的资源。
- **不",operating_systems.md(0.7950); operating_systems.md(0.4240); database_systems.md(0.4000); database_systems.md(0.3770),1,0.5758,0.0,1,0.5683,163.7568,164.3252,
baseline,15,操作系统,日志文件系统为什么能提高崩溃恢复能力？,日志文件系统先记录元数据操作日志，再修改结构，崩溃后可根据日志恢复一致性。,operating_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"日志文件系统通过记录元数据操作日志，在系统崩溃后能够恢复文件系统的结构一致性。这主要是因为日志文件系统在真正修改文件系统结构之前会先记录这些操作的日志。

1. **关键概念**：日志文件系统是一种特殊的文件系统，它会在进行任何",operating_systems.md(0.7415); database_systems.md(0.4439); ai_rag_notes.md(0.4212); ai_rag_notes.md(0.4136),1,0.9032,0.0,1,0.7646,165.2181,165.9828,
baseline,16,数据库,关系数据库中的主键和外键分别有什么作用？,主键唯一标识表中记录，外键表达表之间的引用关系。,database_systems.md,qwen2.5:7b-instruct-q4_K_M,4,64,360,False,1,"主键用于唯一标识关系数据库表中的记录，而外键则用于表达不同表之间的引用关系。

- 关键概念：主键是关系数据库中用来唯一标识每一行数据的字段或字段组合。它确保了每一条记录都是唯一的，并且不能重复也不能为NULL。
-",database_systems.md(0.8464); database_systems.md(0.5224); computer_networks.md(0.4198); ai_rag_notes.md(0.3992),1,1.0,0.0,1,0.6824,133.4723,134.1548,
